id,Plot_Name,Latitude,Longitude,Seed,7Mar_Clgr,7Mar_Clre,7Mar_EVI2,7Mar_NDRE,7Mar_NDVI,16Mar_Clgr,16Mar_Clre,16Mar_EVI2,16Mar_NDRE,16Mar_NDVI,23Mar_Clgr,23Mar_Clre,23Mar_EVI2,23Mar_NDRE,23Mar_NDVI,30Mar_CIgr,30Mar_Cire,30Mar_EVI2,30Mar_NDRE,30Mar_NDVI,5Apr_Clgr,5Apr_Clre,5Apr_EVI2,5Apr_NDRE,5Apr_NDVI
13,P1_13,15.277302,100.174847,7.3,3.188068323,0.777664405,1.678352978,0.277403214,0.773941676,2.748017485,0.677740824,1.498766602,0.570498595,0.714801869,1.837257003,0.484794571,1.080763923,0.1923743,0.556984014,1.579409029,0.382057375,0.947838638,0.155190713,0.49308148,1.689901503,0.41878516,1.005088126,0.16750129,0.519540978
14,P1_14,15.277459,100.175414,6,3.224041565,0.775519688,1.727498204,0.277467948,0.790371285,2.728840493,0.659242416,1.53161568,0.568865083,0.726233633,1.800191982,0.461163109,1.063228217,0.185160316,0.552076244,1.57012387,0.367402811,0.944708981,0.151173357,0.496769688,1.68911679,0.423857753,0.964853929,0.17056382,0.506922669
15,P1_15,15.277572,100.175877,8,2.847995825,0.70627653,1.645023423,0.258650776,0.763848311,2.422438797,0.593215348,1.399184821,0.537951887,0.679296287,1.990139511,0.53339416,1.178533373,0.209101996,0.598983328,1.718373676,0.416961178,1.074735243,0.17098577,0.555236421,1.644572299,0.41052784,0.982091416,0.167742268,0.515915527
16,P2_1,15.275366,100.17408,4.6,2.322342479,0.551834302,1.475726836,0.213659751,0.705110553,1.882804665,0.432213129,1.230712115,0.474965935,0.615562371,1.894287967,0.472682538,1.149523295,0.188347839,0.581979491,1.247209833,0.298279771,0.804010246,0.126073522,0.42981332,1.354457665,0.325705388,0.850810457,0.137606502,0.458303447
17,P2_2,15.275461,100.17449,8,2.929934965,0.691366844,1.658352318,0.25433378,0.767829401,2.340998968,0.542394407,1.397637307,0.527036655,0.678909884,2.187294434,0.537549816,1.244412237,0.209180226,0.621882176,1.569866706,0.369903899,0.985583379,0.15234528,0.513432437,1.661158146,0.401816476,1.024379209,0.163428533,0.529784287
18,P2_3,15.275613,100.175132,8.3,2.752763116,0.66317048,1.672388178,0.246944938,0.772090408,2.61192719,0.601751902,1.508972586,0.555707494,0.717475456,2.353122387,0.576255691,1.343861864,0.221007362,0.658011119,2.07254082,0.4960331,1.26892402,0.195586499,0.628791518,1.943053444,0.461452476,1.190174414,0.184884604,0.602445197
19,P2_4,15.275701,100.17552,7.4,3.451935027,0.817035697,1.840090891,0.288275286,0.825251827,3.062618846,0.7028789,1.624802631,0.598148082,0.75828413,3.142049671,0.738365924,1.585802447,0.26735254,0.745133518,2.501079034,0.576869478,1.432324851,0.219789939,0.691087161,1.868305795,0.42241759,1.124347551,0.168697715,0.571450995
20,P2_5,15.275814,100.176003,6.2,3.279296226,0.769825986,1.794642139,0.275971361,0.811334758,2.681785101,0.618553496,1.518569707,0.564719182,0.722067488,2.597137104,0.593806095,1.432083834,0.226487217,0.691917557,1.934454202,0.424025197,1.154113952,0.17090687,0.584512063,1.529694918,0.323272881,0.934329732,0.135808635,0.492002511
21,P2_6,15.276194,100.176257,8.9,2.505122007,0.581565956,1.606639263,0.223384496,0.751019536,2.42022753,0.542406096,1.472393373,0.541962512,0.706930181,2.145246035,0.488251447,1.342327126,0.195345814,0.661654612,1.72076118,0.39125323,1.14634248,0.162582352,0.587123662,1.78069908,0.413771939,1.16754741,0.169478328,0.595266353
22,P2_7,15.276066,100.175703,3.6,2.208085976,0.512224707,1.500864344,0.202809952,0.715728608,2.048807879,0.453516703,1.33605457,0.499861786,0.657617326,1.631760679,0.37503967,0.986122348,0.155633527,0.515791719,1.326800835,0.291422073,0.860907143,0.124865706,0.460751699,1.769946277,0.411769921,1.081939785,0.169208884,0.561588415
23,P2_8,15.275964,100.175286,3.4,1.942333368,0.440284638,1.341064939,0.179128943,0.657420327,1.819810506,0.393394825,1.19229229,0.468590668,0.60126265,1.527781497,0.338307023,0.945657832,0.143143239,0.501199844,1.271937547,0.27530938,0.821676152,0.119086948,0.445138334,1.727767556,0.400588115,1.049584141,0.16494456,0.546892551
24,P2_9,15.275786,100.174532,4,1.955240102,0.453262169,1.334736213,0.182730968,0.654572916,1.773829921,0.388785004,1.129367096,0.455783316,0.574366092,1.265267667,0.283108934,0.769423487,0.119924336,0.416235315,1.05765554,0.225416515,0.683671833,0.097098977,0.368635965,1.48140078,0.339718658,0.867773951,0.140919736,0.460953227
25,P2_10,15.275667,100.174003,5,2.406345191,0.566146339,1.513133971,0.218063755,0.717644191,2.171428436,0.502476266,1.349428953,0.509648555,0.659858758,1.846510014,0.439680078,1.137734179,0.177790123,0.578772993,1.559895131,0.369569067,1.013604982,0.153499658,0.527343385,1.74014352,0.425928413,1.068313534,0.173689588,0.553516155
26,P2_11,15.276015,100.174007,10.1,3.467573129,0.893489648,1.718912355,0.30520013,0.786917014,2.981259207,0.771134856,1.532017929,0.587704438,0.726097972,2.100740587,0.559800531,1.207492586,0.21629606,0.608383863,1.431912694,0.373410147,0.891670877,0.153888326,0.473765645,1.953996807,0.540831475,1.122160422,0.208436476,0.572239064
27,P2_12,15.276095,100.174372,1.4,2.162815445,0.505195306,1.413349943,0.199062665,0.681522082,1.844087331,0.407249013,1.191340694,0.459721042,0.595387346,1.310497157,0.310762095,0.833378942,0.12877372,0.437219734,0.9805135,0.221211633,0.633271839,0.094083996,0.342049609,1.320642932,0.313317492,0.847530765,0.128829115,0.441532438
28,P2_13,15.276266,100.175153,4.4,1.893529718,0.430370996,1.328745343,0.175245118,0.651116115,1.757445942,0.381836795,1.17989821,0.458006792,0.596697362,1.341116938,0.301925021,0.854532592,0.127233977,0.451437973,1.119262817,0.252212124,0.734840902,0.107840901,0.39554734,2.118214885,0.516306226,1.158368672,0.196909202,0.581348244
29,P2_14,15.276356,100.175471,8.6,2.351745585,0.563891464,1.509206639,0.217366847,0.715875287,2.22159036,0.528370447,1.371675442,0.516790424,0.670053376,1.651755298,0.390117738,0.968214287,0.158247138,0.500746137,1.450121527,0.341916878,0.913876415,0.140159959,0.472935094,1.896318965,0.47756572,1.167615744,0.190373351,0.592891782
30,P2_15,15.276479,100.176095,12.1,3.039863923,0.741925035,1.72363865,0.268951223,0.788579651,2.985700486,0.712450756,1.57353772,0.592674083,0.740652529,2.528345951,0.634233986,1.387027069,0.238642398,0.675134726,2.389003504,0.598231939,1.387269141,0.227542732,0.675252144,2.298131219,0.585428729,1.372010291,0.223691012,0.668686518
31,P3_1,15.273959,100.174284,13.6,3.598701895,0.86010126,1.723375618,0.297171784,0.787777093,3.680503371,0.882933264,1.652243481,0.639626677,0.766347215,3.092275851,0.749278761,1.516562872,0.270116481,0.721385511,3.017293038,0.719451935,1.563321208,0.26259702,0.737541287,3.072328212,0.751356144,1.55697161,0.270950975,0.734958404
32,P3_2,15.274018,100.174484,15.5,5.429384574,1.278690375,1.976540121,0.38528788,0.864580604,4.467146021,1.119312748,1.782329281,0.683904723,0.807499118,4.105074532,1.070435795,1.702861263,0.346995396,0.783349283,3.713489566,0.968249315,1.677878354,0.324388672,0.775479882,3.49760196,0.941022246,1.635527675,0.318336264,0.761931276
33,P3_3,15.274079,100.174876,10.1,2.948997556,0.703836665,1.702268116,0.25793978,0.781858203,2.886998281,0.691916574,1.537950907,0.582883273,0.728814586,2.599288481,0.63171252,1.409699487,0.237584633,0.684423746,1.844130279,0.444552186,1.170730677,0.178870955,0.593507035,1.817670202,0.423845673,1.187270883,0.172259918,0.602113275
