id,Plot_Name,Husk_Cob_Seed,Cob_Seed,Seed,30Mar_CIgr,30Mar_CIre,30Mar_EVI2,30Mar_GNDVI,30Mar_MCARI2,30Mar_MTVI2,30Mar_NDRE,30Mar_NDVI,30Mar_NDWI,30Mar_OSAVI,30Mar_RDVI,30Mar_RGBVI
31,P3_1,17.6,16,13.6,301.7293038,71.9451935,156.3321208,59.3426195,86.4679606,86.4679606,26.259702,73.7541287,-59.3426195,85.5532238,6962.754795,58.527558
32,P3_2,19.4,18,15.5,371.3489566,96.8249315,167.7878354,64.3132154,87.4730039,87.4730039,32.4388672,77.5479882,-64.3132154,89.9540369,7342.242757,56.1406211
33,P3_3,13,11.6,10.1,184.4130279,44.4552186,117.0730677,46.6087359,76.9478789,76.9478708,17.8870955,59.3507035,-46.6087359,68.8454184,5396.207136,51.6927394
34,P3_4,11.2,10.3,9,293.3180876,74.1662569,153.1164539,58.021552,86.2771239,86.2771239,26.6811952,72.6884075,-58.021552,84.3168149,6583.321052,57.005267
35,P3_5,15.6,13.8,12,283.3405996,74.4213936,148.7976814,57.3405313,84.8018751,84.8018832,26.7902409,71.1837345,-57.3405313,82.5714816,6550.579223,54.8561115
36,P3_6,5.6,5,4,178.2893713,42.6355966,117.3751583,46.5899409,78.0170462,78.0170462,17.4773937,59.7919851,-46.5899409,69.3573028,5395.519553,53.1413179
37,P3_7,6.6,5.8,5,196.9671913,45.9556009,116.2479032,48.2217789,75.3589054,75.3589054,18.4186182,59.1046128,-48.2217789,68.5600065,5398.467598,52.1886789
38,P3_8,7,6,5.1,150.9163828,33.43022,95.6792461,42.4844094,68.5706365,68.5706365,14.2476923,51.1398797,-42.4844094,59.3210393,4568.356651,46.8936045
39,P3_9,7.8,6.5,5.3,168.0016534,38.7461794,102.949788,44.8374272,70.5264535,70.5264454,16.082488,53.9481536,-44.8374272,62.5785937,4878.136935,47.9852601
40,P3_10,7.6,6.8,5.3,135.4733733,31.1632839,81.4513207,38.6216239,58.7848219,58.7848219,13.2161191,44.2064116,-38.6216239,51.2783814,3996.233602,38.3045694
41,P3_11,3,2.6,2.2,110.7352468,23.7107757,61.9568013,33.582443,46.1158167,46.1158127,10.3762685,34.9876503,-33.582443,40.5848721,3187.850019,32.8308957
42,P3_12,5.8,5,4.3,146.2364073,33.0125579,87.5699421,40.943672,62.2113732,62.2113773,13.9643806,47.1375789,-40.943672,54.6784876,4269.085489,41.5452058
43,P3_13,6.2,5,4.2,196.9679372,44.8639007,122.1155973,48.368016,78.4450585,78.4450667,18.0843945,61.3354306,-48.368016,71.1477026,5613.073418,55.9633233
44,P3_14,4.2,3.9,3.3,184.6432344,40.444151,119.099647,47.2780855,78.446985,78.446985,16.7145166,60.4566026,-47.2780855,70.1282815,5517.375125,55.2254447
45,P3_15,12.5,11,9.6,248.5243884,60.7080962,136.4289759,53.0595864,81.037652,81.037652,22.7469838,66.3025936,-53.0595864,76.9095429,6231.061628,54.3780471
