Seed,Cire_CV,Temperature,Wind speed,SoilHumi,K,P,Evapotranspiration
4.7,0.280292345,34.9,9,13.6,0,0,1.27
5.53,0.324808573,32.1,9,15.9,7,3,0.66
5.14,0.29601807,36.1,1,21,46,21,1.98
7.5,0.432558081,35.2,4,22,27,13,1.98
4.28,0.256178247,36.6,1,25,4,2,2.67
7.2,0.279226851,37.1,1,24.5,2,1,2.67
5.63,0.321477869,34.7,1,15,0,0,1.27
4.76,0.276522358,32.9,3,26.4,2,1,0.66
7.92,0.462863572,35.1,1,12.4,2,1,1.98
8.7,0.516406388,35.1,1,12.4,2,1,1.98
6.13,0.350060752,34.7,1,15,0,0,1.27
7.06,0.41166729,36.2,0,26.5,5,2,2.67
10.54,0.627315661,32.3,6,24,1,0,0.66
5.82,0.336688582,36,6,25.3,10,5,1.98
8.4,0.35122525,31.2,6,19.4,3,1,0.66
5.27,0.30891476,31.1,11,25,3,1,0.66
7.75,0.449082103,36.1,1,21,46,21,1.98
5.97,0.349047348,33.6,0,15.8,2,1,1.27
5.93,0.341203336,31.2,6,19.4,3,1,0.66
6.4,0.369497248,31.2,6,19.4,3,1,0.66
12.71,0.786602839,35.1,0,14.8,0,0,1.98
8.65,0.514266091,34.7,6,13.6,0,0,1.27
14.2,0.601253683,36.1,1,21,46,21,1.98
7.51,0.438598521,35.1,1,12.4,2,1,1.98
6.14,0.357586191,35.2,4,22,27,13,1.98
6.83,0.390701962,31.2,9,16.8,2,1,0.2
7.53,0.435359746,34.1,0,17.5,4,2,1.27
8.57,0.493622196,31.2,6,19.4,3,1,0.66
9.2,0.385885662,37.1,1,24.5,2,1,2.67
8.53,0.492829154,34.8,8,15,0,0,1.27
10.65,0.638267283,35.1,1,12.4,2,1,1.98
13.88,0.877129258,31.5,8,24,0,0,0.66
6.3,0.357569615,35.1,1,12.4,2,1,1.98
6.47,0.366734996,31.2,8,6.6,6,3,0.66
7.7,0.484409069,31.9,3,20.7,0,0,0.66
7.51,0.431234062,33.6,0,15.8,2,1,1.27
6.55,0.376891881,36.1,12,25.8,3,1,1.98
6.16,0.362552313,34.7,1,15,0,0,1.27
6.19,0.359178113,31.5,8,16.9,1,0,0.66
