wkt_geom,id,mean
"MultiPolygon (((100.17358166953590626 15.27693523484131077, 100.17362357267819561 15.27693501528121978, 100.17362334649027389 15.27689433933299945, 100.17358144335607051 15.27689455889248116, 100.17358166953590626 15.27693523484131077)))",789,0.674506775
"MultiPolygon (((100.17358144335607051 15.27689455889248116, 100.17362334649027389 15.27689433933299945, 100.17362312030303428 15.27685366338463702, 100.17358121717688846 15.27685388294350588, 100.17358144335607051 15.27689455889248116)))",790,0.642791051
"MultiPolygon (((100.17358121717688846 15.27685388294350588, 100.17362312030303428 15.27685366338463702, 100.17362289411646259 15.27681298743612004, 100.17358099099840274 15.27681320699437606, 100.17358121717688846 15.27685388294350588)))",791,0.671886637
"MultiPolygon (((100.17358099099840274 15.27681320699437606, 100.17362289411646259 15.27681298743612004, 100.17362266793057302 15.27677231148744852, 100.17358076482057072 15.2767725310450917, 100.17358099099840274 15.27681320699437606)))",792,0.567571175
"MultiPolygon (((100.17358076482057072 15.2767725310450917, 100.17362266793057302 15.27677231148744852, 100.17362244174533714 15.27673163553863489, 100.17358053864342082 15.2767318550956599, 100.17358076482057072 15.2767725310450917)))",793,0.282707021
"MultiPolygon (((100.1736249298199084 15.27717907096735139, 100.17366683300993202 15.2771788513957496, 100.17366660680988844 15.27713817544904273, 100.17362470362792237 15.27713839502003168, 100.1736249298199084 15.27717907096735139)))",892,0.348999886
"MultiPolygon (((100.17362470362792237 15.27713839502003168, 100.17366660680988844 15.27713817544904273, 100.17366638061052697 15.27709749950220086, 100.17362447743663267 15.27709771907257696, 100.17362470362792237 15.27713839502003168)))",893,0.612536709
"MultiPolygon (((100.17362447743663267 15.27709771907257696, 100.17366638061052697 15.27709749950220086, 100.17366615441183342 15.27705682355519734, 100.17362425124601089 15.2770570431249606, 100.17362447743663267 15.27709771907257696)))",894,0.916662493
"MultiPolygon (((100.17362425124601089 15.2770570431249606, 100.17366615441183342 15.27705682355519734, 100.17366592821382199 15.27701614760804638, 100.17362402505605701 15.2770163671771968, 100.17362425124601089 15.2770570431249606)))",895,0.92754821
"MultiPolygon (((100.17362402505605701 15.2770163671771968, 100.17366592821382199 15.27701614760804638, 100.17366570201647846 15.27697547166074266, 100.17362379886679946 15.27697569122928201, 100.17362402505605701 15.2770163671771968)))",896,0.845166449
"MultiPolygon (((100.17362379886679946 15.27697569122928201, 100.17366570201647846 15.27697547166074266, 100.17366547581980285 15.27693479571328972, 100.17362357267819561 15.27693501528121978, 100.17362379886679946 15.27697569122928201)))",897,0.778178603
"MultiPolygon (((100.17362357267819561 15.27693501528121978, 100.17366547581980285 15.27693479571328972, 100.17366524962380936 15.27689411976568756, 100.17362334649027389 15.27689433933299945, 100.17362357267819561 15.27693501528121978)))",898,0.678070329
"MultiPolygon (((100.17362334649027389 15.27689433933299945, 100.17366524962380936 15.27689411976568756, 100.17366502342849799 15.27685344381793264, 100.17362312030303428 15.27685366338463702, 100.17362334649027389 15.27689433933299945)))",899,0.660310533
"MultiPolygon (((100.17362312030303428 15.27685366338463702, 100.17366502342849799 15.27685344381793264, 100.17366479723385453 15.27681276787002851, 100.17362289411646259 15.27681298743612004, 100.17362312030303428 15.27685366338463702)))",900,0.65717881
"MultiPolygon (((100.17362289411646259 15.27681298743612004, 100.17366479723385453 15.27681276787002851, 100.17366457103989319 15.27677209192196806, 100.17362266793057302 15.27677231148744852, 100.17362289411646259 15.27681298743612004)))",901,0.706105089
"MultiPolygon (((100.17362266793057302 15.27677231148744852, 100.17366457103989319 15.27677209192196806, 100.17366434484659976 15.27673141597376905, 100.17362244174533714 15.27673163553863489, 100.17362266793057302 15.27677231148744852)))",902,0.603832867
"MultiPolygon (((100.17362244174533714 15.27673163553863489, 100.17366434484659976 15.27673141597376905, 100.17366411865398845 15.27669074002541194, 100.17362221556081181 15.27669095958966494, 100.17362244174533714 15.27673163553863489)))",903,0.434039656
"MultiPolygon (((100.17362221556081181 15.27669095958966494, 100.17366411865398845 15.27669074002541194, 100.17366389246203084 15.27665006407689674, 100.17362198937694018 15.27665028364053867, 100.17362221556081181 15.27669095958966494)))",904,0.467027816
"MultiPolygon (((100.17362198937694018 15.27665028364053867, 100.17366389246203084 15.27665006407689674, 100.17366366627076957 15.27660938812823943, 100.17362176319373646 15.27660960769127385, 100.17362198937694018 15.27665028364053867)))",905,0.533242932
"MultiPolygon (((100.17362176319373646 15.27660960769127385, 100.17366366627076957 15.27660938812823943, 100.1736634400801762 15.27656871217943113, 100.17362153701121485 15.27656893174184738, 100.17362176319373646 15.27660960769127385)))",906,0.330271222
"MultiPolygon (((100.17362153701121485 15.27656893174184738, 100.1736634400801762 15.27656871217943113, 100.17366321389027917 15.27652803623047362, 100.17362131082937537 15.27652825579228058, 100.17362153701121485 15.27656893174184738)))",907,0.318382004
"MultiPolygon (((100.17366683300993202 15.2771788513957496, 100.17370873619930194 15.27717863181630875, 100.17370850999117238 15.27713795587022361, 100.17366660680988844 15.27713817544904273, 100.17366683300993202 15.2771788513957496)))",1001,0.227431496
"MultiPolygon (((100.17366660680988844 15.27713817544904273, 100.17370850999117238 15.27713795587022361, 100.17370828378373915 15.27709727992398925, 100.17366638061052697 15.27709749950220086, 100.17366660680988844 15.27713817544904273)))",1002,0.727824488
"MultiPolygon (((100.17366638061052697 15.27709749950220086, 100.17370828378373915 15.27709727992398925, 100.17370805757697383 15.27705660397759857, 100.17366615441183342 15.27705682355519734, 100.17366638061052697 15.27709749950220086)))",1003,0.731618478
"MultiPolygon (((100.17366615441183342 15.27705682355519734, 100.17370805757697383 15.27705660397759857, 100.17370783137089063 15.27701592803105868, 100.17366592821382199 15.27701614760804638, 100.17366615441183342 15.27705682355519734)))",1004,0.842616507
"MultiPolygon (((100.17366592821382199 15.27701614760804638, 100.17370783137089063 15.27701592803105868, 100.17370760516547534 15.27697525208436602, 100.17366570201647846 15.27697547166074266, 100.17366592821382199 15.27701614760804638)))",1005,0.82158163
"MultiPolygon (((100.17366570201647846 15.27697547166074266, 100.17370760516547534 15.27697525208436602, 100.17370737896074218 15.2769345761375277, 100.17366547581980285 15.27693479571328972, 100.17366570201647846 15.27697547166074266)))",1006,0.765390407
"MultiPolygon (((100.17366547581980285 15.27693479571328972, 100.17370737896074218 15.2769345761375277, 100.17370715275667692 15.27689390019053839, 100.17366524962380936 15.27689411976568756, 100.17366547581980285 15.27693479571328972)))",1007,0.8040601
"MultiPolygon (((100.17366524962380936 15.27689411976568756, 100.17370715275667692 15.27689390019053839, 100.17370692655329378 15.27685322424339809, 100.17366502342849799 15.27685344381793264, 100.17366524962380936 15.27689411976568756)))",1008,0.789605106
"MultiPolygon (((100.17366502342849799 15.27685344381793264, 100.17370692655329378 15.27685322424339809, 100.17370670035057856 15.27681254829610502, 100.17366479723385453 15.27681276787002851, 100.17366502342849799 15.27685344381793264)))",1009,0.721104101
"MultiPolygon (((100.17366479723385453 15.27681276787002851, 100.17370670035057856 15.27681254829610502, 100.17370647414854545 15.27677187234865741, 100.17366457103989319 15.27677209192196806, 100.17366479723385453 15.27681276787002851)))",1010,0.764601736
"MultiPolygon (((100.17366457103989319 15.27677209192196806, 100.17370647414854545 15.27677187234865741, 100.17370624794718026 15.27673119640106592, 100.17366434484659976 15.27673141597376905, 100.17366457103989319 15.27677209192196806)))",1011,0.648063004
"MultiPolygon (((100.17366434484659976 15.27673141597376905, 100.17370624794718026 15.27673119640106592, 100.17370602174648297 15.27669052045331988, 100.17366411865398845 15.27669074002541194, 100.17366434484659976 15.27673141597376905)))",1012,0.613034301
"MultiPolygon (((100.17366411865398845 15.27669074002541194, 100.17370602174648297 15.27669052045331988, 100.17370579554648202 15.27664984450542107, 100.17366389246203084 15.27665006407689674, 100.17366411865398845 15.27669074002541194)))",1013,0.701504911
"MultiPolygon (((100.17366389246203084 15.27665006407689674, 100.17370579554648202 15.27664984450542107, 100.17370556934714898 15.27660916855737483, 100.17366366627076957 15.27660938812823943, 100.17366389246203084 15.27665006407689674)))",1014,0.66492937
"MultiPolygon (((100.17366366627076957 15.27660938812823943, 100.17370556934714898 15.27660916855737483, 100.17370534314846964 15.27656849260918115, 100.1736634400801762 15.27656871217943113, 100.17366366627076957 15.27660938812823943)))",1015,0.601436057
"MultiPolygon (((100.1736634400801762 15.27656871217943113, 100.17370534314846964 15.27656849260918115, 100.17370511695048663 15.27652781666083293, 100.17366321389027917 15.27652803623047362, 100.1736634400801762 15.27656871217943113)))",1016,0.774470866
