Seed,Cigr_CD,Cire_CD,EVI2_CD,NDRE_CD,NDVI_CD,Cigr_CV,Cire_CV,EVI2_CV,NDRE_CV,NDVI_CV,CHM,Maize_high,N,P,K,pH,SoilTemp,SoilHumi,EC,Water feed Per Area (m3/dunam),Uv radiation,Evapotranspiration,Daily rain,Rain rate,Humidity,Wind speed,Temperature
6.81,1.702730085,0.391251618,1.116313252,0.160471086,0.572839313,1.84359747,0.423619985,1.208666192,0.173746909,0.620230486,1.082730309,1.13,2,3,7,6.4,39.2,15.9,37,1.96,5.8,0.66,0,0,70,9,32.1
7.4,2.766148393,0.64433187,1.534100688,0.241419656,0.727795521,2.766021364,0.644302281,1.534030238,0.241408569,0.727762098,0.999954077,1.56,0,0,0,6.6,38,15,0,7.51,8.2,1.27,0,0,62,8,34.8
5.52,1.423252056,0.31707137,1.010449574,0.134348165,0.529384727,1.462890438,0.325901989,1.038591172,0.138089838,0.544128394,1.027850571,1.38,1,1,3,6.4,38.9,19.4,15,1.96,4.5,0.66,0,0,74,6,31.2
5.83,1.441611374,0.332970965,0.91750557,0.14063583,0.489867172,0.624146847,0.144160057,0.397234802,0.0608884,0.212088401,0.432950834,1.34,0,0,0,6.6,41,13.5,0,7.51,8.1,1.27,0,0,65,11,34.2
13.5,1.626774772,0.376211105,1.04989534,0.156358091,0.545707561,0.571670655,0.13220567,0.368947421,0.054946348,0.191769017,0.351413524,1.01,0,0,0,6.8,39.2,14.8,0,7.51,8.2,1.98,0,0,61,0,35.1
5.14,1.398524123,0.296524857,0.882875429,0.126816201,0.472354552,0.589973282,0.125090258,0.372444712,0.053497948,0.199264754,0.421854205,1.35,0,1,2,6.6,39.5,19.8,10,1.96,5.3,0.66,0,0,73,8,31.5
5.8,1.469285571,0.330941308,0.923023443,0.139948819,0.491272601,0.501191548,0.112888188,0.314854755,0.047738279,0.167579183,0.341112414,1.86,0,1,2,6.3,38.4,24.5,14,9.4,8.2,2.67,0,0,53,1,37.1
3.4,1.184010047,0.252387104,0.766405989,0.109778014,0.4173732,0.330290114,0.070405623,0.213795755,0.030623552,0.11642996,0.278958878,1.38,0,1,2,6.5,39.6,19.8,12,1.96,5.5,0.66,0,0,70,3,31.8
5.66,1.465826954,0.322760873,0.93898896,0.137303473,0.49924017,0.441288847,0.097167522,0.282683678,0.041335364,0.150296812,0.30105112,1.58,12,17,35,6.5,41,25,181,9.4,8.5,1.98,0,0,59,6,35.7
3.14,0.932455477,0.197854488,0.629627873,0.086407045,0.343407554,0.317537751,0.067377232,0.214413046,0.029424996,0.116943774,0.340539317,1.45,0,0,0,6.3,38.7,18.6,0,1.96,7.1,0.66,0,0,70,3,32.6
4.05,1.076630208,0.242752473,0.72604369,0.104849592,0.392805985,0.302169727,0.068131516,0.203773238,0.029427349,0.11024591,0.280662502,1.5,0,1,2,6.7,40.4,15.8,10,7.51,7.6,1.27,0,0,67,0,33.6
6.6,1.71109403,0.402291229,0.989665336,0.156160985,0.498453954,1.03295772,0.242856221,0.597443759,0.094271672,0.300907987,0.603682616,1.23,2,4,8,6.38,39.6,23,46,9.4,4.8,1.98,0,0,57,1,35.9
9.38,2.425206571,0.568297054,1.318968262,0.212149902,0.633428282,1.666412717,0.390489391,0.906292071,0.145772858,0.435242489,0.68712197,1.62,1,1,2,6.4,40,26.5,15,9.4,6.8,1.98,0,0,53,6,36.1
4.4,1.035639766,0.229896567,0.687734576,0.098627874,0.370199352,0.378550812,0.084032629,0.251383242,0.036050819,0.135316613,0.365523635,1.22,2,3,6,6.4,38.9,6.6,34,1.96,4.9,0.66,0,0,73,8,31.2
7.46,1.856361076,0.448960666,1.053962795,0.17357226,0.526723041,0.930013245,0.224923573,0.528021931,0.086957491,0.263881532,0.500987258,1.38,1,1,3,6.4,38.9,19.4,15,1.96,4.5,0.66,0,0,74,6,31.2
3.58,1.010693527,0.224101432,0.656237325,0.095376449,0.351275979,0.301056062,0.066753267,0.195473919,0.028409856,0.104634847,0.297870772,1.73,0,0,0,6.6,38,24,0,1.96,5.3,0.66,0,0,73,8,31.5
7.37,1.76101931,0.42418154,1.115159908,0.171660677,0.568425963,0.89674546,0.216001533,0.567861226,0.087412973,0.289453613,0.509219549,1.1,1,2,4,6.2,39,25,23,9.4,7,2.67,0,0,55,1,36.6
4.05,1.103679523,0.245270844,0.729099105,0.104710265,0.388563566,0.397197744,0.088269306,0.262391857,0.037683657,0.139838213,0.359885036,1.22,2,3,6,6.4,38.9,6.6,34,1.96,4.9,0.66,0,0,73,8,31.2
7.41,1.756541698,0.42547372,1.113539997,0.172444254,0.567604838,0.698841188,0.169274979,0.443022568,0.068607052,0.225821932,0.397850611,0.94,0,0,0,6.7,39.6,14,0,7.51,5.4,1.98,0,0,61,3,35.2
4.75,1.24075525,0.285284991,0.781072509,0.118972661,0.411537512,0.323173184,0.074306725,0.203441968,0.030988202,0.107191074,0.260464893,1.13,0,0,0,6.6,41,12,0,7.51,7.8,1.27,0,0,66,3,34
8.6,2.105261863,0.519723851,1.263884518,0.202370674,0.62619793,1.283967938,0.316971857,0.770824393,0.123422868,0.381908816,0.609885146,1.56,0,0,0,6.6,38,15,0,7.51,8.2,1.27,0,0,62,8,34.8
6.39,1.65035169,0.368839405,1.007999286,0.151939474,0.52243104,1.371511562,0.306521035,0.837689739,0.126268084,0.434162134,0.831041996,1.86,0,1,2,6.3,38.4,24.5,14,9.4,8.2,2.67,0,0,53,1,37.1
