Scenario,Machine_Learing_Algorithms,Test_MAE,Test_MSE,Test_RMSE,Test_R2
NDVI_CD_6FE,Linear ,2.215785751,8.344760134,2.888729848,0.184747834
NDVI_CD_6FE,M-estimators,2.179802559,8.228398461,2.868518513,0.196115939
NDVI_CD_6FE,Passive_Aggressive ,2.608514152,12.32546945,3.510764796,-0.204152727
NDVI_CD_6FE,RF ,1.985,4.951790778,2.225261957,0.516228377
NDVI_CD_6FE,Ridge,2.213221854,9.036355727,3.006053181,0.117181505
NDVI_CD_6FE,SVR,2.602874792,9.118661674,3.019712184,0.109140519
NDVI_CD_6FE,XGBoost,1.652562586,3.56542378,1.888232978,0.651671299
CIgr_CV,CatBoost,2.543264329,7.401950022,2.720652499,0.276856891
CIgr_CV,Decision_Tree ,2.622222222,8.166666667,2.857738033,0.202146906
CIgr_CV,ElasticNet,2.768605923,9.544443059,3.089408205,0.067543254
CIgr_CV,Gradient_Boosting ,2.557401567,7.511615559,2.740732668,0.266142974
CIgr_CV,Huber ,2.489324638,7.761804452,2.786001517,0.241700446
CIgr_CV,KNN,2.742222222,9.562311111,3.092298678,0.065797612
CIgr_CV,Lasso,2.761628988,9.487129941,3.080118495,0.073142534
CIgr_CV,Linear ,2.521966558,7.916849232,2.813689612,0.226553145
CIgr_CV,M-estimators,2.489324638,7.761804452,2.786001517,0.241700446
CIgr_CV,Passive_Aggressive ,2.683559762,8.86688464,2.977731459,0.133738203
CIgr_CV,RF ,2.525333333,7.071100667,2.659154126,0.309179648
CIgr_CV,Ridge,2.535486982,7.984824799,2.825743229,0.219912183
CIgr_CV,SVR,2.64824926,8.571713925,2.927748952,0.162575289
CIgr_CV,XGBoost,2.622394032,8.162856247,2.857071271,0.20251917
CIre_CV,CatBoost,2.27310116,9.393659405,3.064907732,0.082274259
CIre_CV,Decision_Tree ,2.644444444,11.73555556,3.425719714,-0.146520323
CIre_CV,ElasticNet,2.761456393,9.512552817,3.084242665,0.070658813
CIre_CV,Gradient_Boosting ,2.378778654,10.5629146,3.250063784,-0.031957644
CIre_CV,Huber ,2.472909676,7.645191653,2.76499397,0.253093084
CIre_CV,KNN,2.697777778,9.200977778,3.033311355,0.101098541
CIre_CV,Lasso,2.750861879,9.426015098,3.070181607,0.079113228
CIre_CV,Linear ,2.511285078,7.834004117,2.798929102,0.234646806
CIre_CV,M-estimators,2.472909676,7.645191653,2.76499397,0.253093084
CIre_CV,Passive_Aggressive ,2.40154373,8.306025294,2.882017573,0.188532084
CIre_CV,RF ,2.165888889,6.875411667,2.622100621,0.328297739
CIre_CV,Ridge,2.52509419,7.906786446,2.81190086,0.227536242
CIre_CV,SVR,2.614028736,8.404469289,2.899046272,0.178914471
CIre_CV,XGBoost,2.638640457,11.70362324,3.421055866,-0.143400654
EVI2_CV,CatBoost,2.899930042,10.79677599,3.285844792,-0.054805036
EVI2_CV,Decision_Tree ,3.055555556,12.48555556,3.533490563,-0.219792546
EVI2_CV,ElasticNet,2.759188505,9.543741325,3.089294632,0.067611811
EVI2_CV,Gradient_Boosting ,2.985054047,11.47344228,3.387247006,-0.120912827
EVI2_CV,Huber ,2.484281499,7.879106483,2.806974614,0.230240471
EVI2_CV,KNN,2.726666667,9.458,3.075386155,0.075988421
EVI2_CV,Lasso,2.757271717,9.528720075,3.086862497,0.069079332
EVI2_CV,Linear ,2.498071577,7.952232196,2.819970247,0.22309636
EVI2_CV,M-estimators,2.484281499,7.879106483,2.806974614,0.230240471
EVI2_CV,Passive_Aggressive ,2.619424203,11.14379239,3.338231926,-0.088707254
EVI2_CV,RF ,2.564555556,8.219110778,2.866899157,0.197023311
EVI2_CV,Ridge,2.51223781,8.015068552,2.83108964,0.216957481
EVI2_CV,SVR,2.651872068,8.751185876,2.958240334,0.145041544
EVI2_CV,XGBoost,3.052872499,12.464072,3.530449264,-0.217693683
NDRE_CV,CatBoost,2.216872249,6.150243687,2.479968485,0.399143965
NDRE_CV,Decision_Tree ,2.255555556,6.418888889,2.533552622,0.372898323
NDRE_CV,ElasticNet,2.756222775,9.488760493,3.080383173,0.072983235
NDRE_CV,Gradient_Boosting ,2.264155288,6.468490838,2.543322795,0.368052397
NDRE_CV,Huber ,2.462012548,7.616751669,2.759846313,0.255871565
NDRE_CV,KNN,2.646666667,8.993555556,2.998925734,0.121362924
NDRE_CV,Lasso,2.748628654,9.427452636,3.070415711,0.078972786
NDRE_CV,Linear ,2.49781745,7.791936103,2.791403966,0.238756695
NDRE_CV,M-estimators,2.462012548,7.616751669,2.759846313,0.255871565
NDRE_CV,Passive_Aggressive ,2.924261659,15.06031286,3.880761892,-0.471336801
NDRE_CV,RF ,2.362,6.761342,2.600258064,0.339441923
NDRE_CV,Ridge,2.511990552,7.864211769,2.804320197,0.23169563
NDRE_CV,SVR,2.622658513,8.444844177,2.906001407,0.174969994
NDRE_CV,XGBoost,2.254468589,6.41288734,2.532367931,0.373484653
NDVI_CV,CatBoost,2.13280645,7.601363592,2.757057053,0.257374923
NDVI_CV,Decision_Tree ,2.266666667,8.382222222,2.895206767,0.181087927
NDVI_CV,ElasticNet,2.769324886,9.628921674,3.103050382,0.059290007
NDVI_CV,Gradient_Boosting ,2.128982268,7.600131319,2.756833568,0.257495312
NDVI_CV,Huber ,2.516426228,8.027697958,2.833319247,0.215723635
NDVI_CV,KNN,2.686666667,9.663955556,3.108690328,0.055867326
NDVI_CV,Lasso,2.772901651,9.65740458,3.107636494,0.056507332
NDVI_CV,Linear ,2.512850784,8.041927139,2.83582918,0.214333496
NDVI_CV,M-estimators,2.516426228,8.027697958,2.833319247,0.215723635
NDVI_CV,Passive_Aggressive ,3.033122725,11.88319542,3.4472011,-0.160944192
