Scenario,Machine_Learing_Algorithms,Train_MAE,Test_MAE,Train_MSE,Test_MSE,Train_RMSE,Test_RMSE,Train_R2,Test_R2
CIre_CD_16Env,SVR,1.676632189,2.607198077,5.294645387,8.349955517,2.301009645,2.889628958,0.454097738,0.184240264
CIre_CD_16Env,XGBoost,0.00057732,1.496657753,5.92E-07,3.188391,0.000769195,1.78560662,0.999999939,0.688506005
EVI2_CD_16Env,CatBoost,0.009342328,2.181615417,0.000131747,7.070386525,0.011478101,2.659019843,0.999986416,0.309249417
EVI2_CD_16Env,Decision_Tree ,0,1.644444444,0,4.411111111,0,2.100264534,1,0.569050778
EVI2_CD_16Env,ElasticNet,1.75676651,2.581678696,4.643236762,8.671782767,2.154817106,2.944789087,0.521260959,0.152798934
EVI2_CD_16Env,Gradient_Boosting ,0.039404112,1.631396961,0.002412154,3.899126093,0.04911368,1.974620493,0.999751296,0.619069818
EVI2_CD_16Env,Huber ,0.851658009,4.178132644,1.97173216,29.18641277,1.404183806,5.402445073,0.796705356,-1.851404456
EVI2_CD_16Env,KNN,1.888888889,2.955555556,5.909622222,11.33217778,2.430971456,3.366330016,0.390690801,-0.107111808
EVI2_CD_16Env,Lasso,1.736724177,2.559644657,4.438051052,8.5684135,2.106668235,2.927185252,0.542416549,0.162897728
EVI2_CD_16Env,Linear ,0.957671505,3.380450996,1.423392676,17.45488555,1.193060215,4.177904445,0.853241676,-0.705277686
EVI2_CD_16Env,M-estimators,0.851658009,4.178132644,1.97173216,29.18641277,1.404183806,5.402445073,0.796705356,-1.851404456
EVI2_CD_16Env,Passive_Aggressive ,1.294290729,3.26554032,2.558824623,17.99105143,1.599632653,4.241585957,0.736173426,-0.757659107
EVI2_CD_16Env,RF ,0.738472222,1.984888889,0.879872306,6.205570667,0.938015088,2.491098285,0.909281123,0.393738724
EVI2_CD_16Env,Ridge,1.197548834,2.643071966,1.916152022,12.05957566,1.38425143,3.472689974,0.802435924,-0.178175887
EVI2_CD_16Env,SVR,1.630461544,2.558934947,5.429631968,8.354432623,2.330157069,2.89040354,0.440180001,0.183802868
EVI2_CD_16Env,XGBoost,0.000596444,1.919406997,4.99E-07,5.569444278,0.00070657,2.359967008,0.999999949,0.455885917
NDRE_CD_16Env,CatBoost,0.011365085,1.865814617,0.000189157,5.135520861,0.013753446,2.266168763,0.999980497,0.498278628
NDRE_CD_16Env,Decision_Tree ,0,1.422222222,0,3.244444444,0,1.801234145,1,0.683029791
NDRE_CD_16Env,ElasticNet,1.728132235,2.494223595,4.321891846,7.814463732,2.078916027,2.795436233,0.554393096,0.236555829
NDRE_CD_16Env,Gradient_Boosting ,0.035127652,1.399451862,0.001857201,3.307123178,0.043095252,1.818549746,0.999808514,0.676906311
NDRE_CD_16Env,Huber ,0.83831274,3.75513697,1.712096773,23.67875232,1.308471159,4.866081824,0.823474958,-1.313326423
NDRE_CD_16Env,KNN,1.942777778,3.015555556,6.108344444,11.14653333,2.471506513,3.338642439,0.370201627,-0.088975033
NDRE_CD_16Env,Lasso,1.703149622,2.491172639,4.125423677,7.705998862,2.031113901,2.775968094,0.574649867,0.247152445
NDRE_CD_16Env,Linear ,0.880213222,2.839750126,1.246600407,11.41873296,1.116512609,3.379161576,0.871469771,-0.115567929
NDRE_CD_16Env,M-estimators,0.83831274,3.75513697,1.712096773,23.67875232,1.308471159,4.866081824,0.823474958,-1.313326423
NDRE_CD_16Env,Passive_Aggressive ,1.65019489,1.82381209,3.683826601,5.346855252,1.919329727,2.312326805,0.620180554,0.47763204
NDRE_CD_16Env,RF ,0.630138889,1.863333333,0.621011194,5.133429556,0.788042635,2.265707297,0.935970893,0.498482941
NDRE_CD_16Env,Ridge,1.143566304,2.205060921,1.737832199,7.59971852,1.318268637,2.756758698,0.820821517,0.257535641
NDRE_CD_16Env,SVR,1.659960042,2.574984483,5.288038365,8.201137846,2.299573518,2.863762882,0.454778952,0.1987792
NDRE_CD_16Env,XGBoost,0.000539076,1.782988082,4.91E-07,4.326455749,0.000700441,2.080013401,0.999999949,0.577321293
NDVI_CD_16Env,CatBoost,0.009904063,2.170171195,0.000123864,7.219397255,0.011129399,2.686893607,0.999987229,0.29469162
NDVI_CD_16Env,Decision_Tree ,0,1.733333333,0,3.944444444,0,1.986062548,1,0.614642383
NDVI_CD_16Env,ElasticNet,1.785422037,2.598562305,4.860797246,8.768871257,2.20472158,2.961227998,0.498829474,0.143313748
NDVI_CD_16Env,Gradient_Boosting ,0.025879355,1.707388583,0.001024682,4.174417345,0.032010651,2.043139091,0.999894351,0.592174882
NDVI_CD_16Env,Huber ,0.908710729,4.30915408,2.039995584,30.36685254,1.42828414,5.51061272,0.789667084,-1.966729051
NDVI_CD_16Env,KNN,1.863888889,2.955555556,5.806122222,11.33217778,2.409589638,3.366330016,0.401362126,-0.107111808
NDVI_CD_16Env,Lasso,1.769703942,2.578882709,4.695884865,8.675271582,2.166999046,2.945381398,0.515832698,0.152458089
NDVI_CD_16Env,Linear ,0.993856103,3.420750712,1.536749276,18.87070766,1.239656919,4.344042779,0.84155409,-0.843598264
NDVI_CD_16Env,M-estimators,0.908710729,4.30915408,2.039995584,30.36685254,1.42828414,5.51061272,0.789667084,-1.966729051
NDVI_CD_16Env,Passive_Aggressive ,1.528446833,2.97959544,3.406786311,14.02959832,1.845748171,3.745610541,0.648744681,-0.370639807
NDVI_CD_16Env,RF ,0.723166667,2.019888889,0.759384056,6.379382778,0.871426449,2.525744005,0.921704015,0.376757924
NDVI_CD_16Env,Ridge,1.239598128,2.706748043,2.033547994,13.43352498,1.426025243,3.665177346,0.79033186,-0.312405648
NDVI_CD_16Env,SVR,1.638839805,2.556427923,5.561387378,8.350658209,2.358259396,2.889750544,0.426595413,0.184171614
NDVI_CD_16Env,XGBoost,0.00053439,1.520142529,4.83E-07,3.643854907,0.000695098,1.908888396,0.99999995,0.644008868
CIgr_CD_6FE,CatBoost,0.016357981,1.926078935,0.000419543,5.287812804,0.020482753,2.299524473,0.999956743,0.483400269
CIgr_CD_6FE,Decision_Tree ,0,2.233333333,0,6.69,0,2.586503431,1,0.346411772
CIgr_CD_6FE,ElasticNet,1.792215349,2.51601616,4.56645783,7.973466338,2.136927193,2.823732696,0.52917722,0.221021863
CIgr_CD_6FE,Gradient_Boosting ,0.074265605,1.452251103,0.008585877,2.672359637,0.092660009,1.634735342,0.999114757,0.738920359
CIgr_CD_6FE,Huber ,1.157106809,1.826906867,2.03163186,5.496878985,1.425353241,2.344542383,0.790529422,0.462975277
CIgr_CD_6FE,KNN,1.938888889,2.271111111,5.753155556,7.747466667,2.39857365,2.783427144,0.406823233,0.243101194
CIgr_CD_6FE,Lasso,1.761443568,2.578655281,4.368401683,8.220019333,2.090072172,2.867057609,0.549597719,0.196934548
CIgr_CD_6FE,Linear ,1.209216318,1.709314442,1.947273369,4.696158066,1.395447372,2.167062082,0.79922717,0.541202746
