Cire_CD,NDRE_CD,Predicted_Huber,Predicted_M-estimators,Predicted_Linear Regression,Predicted_Ridge Regression,Seed_Method 1,Seed_Method 2,Seed_Method 3,Seed_Method 4
0.253934113,0.109593195,4.289991528,4.313946835,4.397626673,4.476977328,4.326640214,4.319902914,4.335773045,4.299573651
0.263503086,0.11369463,4.493392815,4.520019938,4.604890306,4.668902973,4.530081717,4.525011806,4.53781434,4.504043664
0.466928206,0.183358619,7.950845416,7.994678213,8.04854826,8.031757673,7.981856766,7.985727464,7.982369347,7.968378535
0.312145964,0.130344978,5.319757913,5.350481945,5.427914934,5.472713143,5.355086348,5.352142728,5.36110237,5.332047526
0.274779928,0.11643703,4.629709202,4.654761434,4.73431707,4.80951432,4.66566617,4.659399057,4.674438507,4.639730095
0.343793015,0.143608346,5.977569433,6.01644961,6.096852574,6.09513783,6.01291864,6.015034124,6.014691175,5.993121504
0.325250896,0.135187195,5.560012687,5.592645622,5.669219962,5.703854098,5.595107436,5.593275669,5.600202496,5.573065861
0.266952498,0.114583295,4.537552503,4.563810403,4.647215087,4.713951996,4.574036081,4.568675285,4.582022667,4.548055663
0.237807899,0.103338703,3.979715782,4.000653624,4.084439381,4.180438242,4.01654174,4.007988746,4.027188519,3.988090919
0.36899169,0.152348985,6.411350105,6.452612826,6.529533031,6.516252703,6.446037474,6.449428642,6.446772577,6.427855193
0.536526382,0.207065588,9.12745597,9.176887837,9.219742766,9.177087962,9.156477409,9.163214483,9.154683522,9.147228717
0.323027724,0.136588975,5.629177928,5.666509173,5.750371549,5.75562036,5.665140907,5.666482588,5.66753235,5.644110426
0.24683144,0.106620583,4.142560888,4.164695027,4.247721596,4.337453432,4.179206455,4.171339978,4.189286345,4.151414544
0.298856364,0.126088568,5.108455257,5.138720926,5.219125841,5.265079381,5.144264428,5.141182358,5.150373066,5.120561525
0.336262332,0.139695957,5.783646033,5.818877045,5.896143718,5.916079417,5.818708444,5.818476424,5.822463564,5.797738438
0.332506036,0.141346898,5.865032043,5.906580535,5.993856038,5.97418222,5.901294008,5.905338814,5.901404051,5.88165144
0.430370053,0.174746463,7.522687744,7.57225497,7.644249032,7.587304139,7.55617568,7.564348531,7.552959552,7.542514634
0.461515532,0.185163968,8.039759419,8.091399747,8.157849398,8.092009308,8.072285504,8.08145153,8.068283511,8.06041555
0.405637658,0.167033454,7.139745995,7.18893076,7.267124907,7.209415196,7.174206236,7.182436445,7.170894503,7.159419901
0.414751025,0.168454763,7.210604902,7.256721159,7.328066322,7.290519239,7.244177355,7.250237876,7.242728459,7.229051405
0.424473327,0.172061742,7.389568714,7.437134196,7.507889343,7.462597015,7.422973251,7.429880758,7.420822293,7.408594907
0.267104845,0.113923739,4.504951947,4.529614982,4.610709948,4.687345523,4.541166015,4.534735609,4.550062724,4.514817161
0.265039866,0.112989393,4.458622575,4.482597762,4.563277563,4.643912341,4.494809607,4.487944888,4.504071844,4.46821265
0.353976488,0.144768058,6.035562962,6.070046391,6.141419586,6.168230829,6.06976044,6.068803487,6.074165736,6.049356334
0.470712745,0.187266918,8.144325997,8.194379832,8.256065322,8.201218167,8.176205297,8.184192704,8.173223273,8.164347531
0.333107486,0.13768142,5.683838922,5.716692925,5.791439334,5.825699613,5.718641233,5.716857905,5.723709961,5.696980523
0.506838592,0.195918601,8.574410233,8.619116789,8.663346739,8.646200916,8.603894919,8.607844829,8.604415664,8.592292855
0.483318498,0.189289812,8.245153293,8.291091291,8.343486011,8.315731684,8.275825803,8.280898136,8.27534727,8.263528492
0.422131413,0.170175349,7.29614962,7.341067449,7.408695758,7.379507527,7.329215373,7.334380088,7.328542442,7.314116752
0.263265765,0.112151845,4.417097856,4.440403439,4.520614706,4.605172532,4.453248683,4.44595818,4.462869745,4.426420089
