Feature Set,Model,MAE,MSE,RMSE,R2
RFE with CV,Passive Aggressive,1.3192610263283397,2.1385003383192815,1.4623612201912637,0.6949313520952878
RFE with CV,Random Forest,0.6212222222222213,1.164086342222222,1.078928330438228,0.8339367826590194
RFE with CV,Ridge Regression,0.38803152182852874,0.5734116805797517,0.7572395133507969,0.9181997201717925
RFE with CV,SVR,0.5502241398269905,1.284883724637415,1.1335271168513856,0.8167043822410731
RFE with CV,XGBoost,0.5930967627631295,1.0290292805573569,1.0144108046335847,0.8532034035025147
Permutation Importance,CatBoost,0.5867392983534274,1.1352636491772916,1.065487517138184,0.8380484958248449
Permutation Importance,Decision Tree,0.9962962962962965,4.731599999999999,2.175224126383302,0.3250116501920213
Permutation Importance,ElasticNet,0.8894472025945551,1.4563683727654126,1.2068008836446105,0.7922411690241236
Permutation Importance,Gradient Boosting,0.6221593548485939,1.881210056931906,1.3715721114589294,0.7316352033200945
Permutation Importance,Huber,0.2790728166120899,0.5166038596929743,0.7187515980455099,0.9263036632938978
Permutation Importance,KNN,0.8065925925925925,1.8234570370370364,1.350354411640528,0.7398739841965982
Permutation Importance,Lasso Regression,1.0929562996602582,2.0270349283180824,1.4237397684682698,0.7108324961390318
Permutation Importance,Linear Regression,0.3954668239804404,0.6052557459118233,0.7779818416337384,0.9136569918960142
Permutation Importance,M-estimators,0.30380157551517833,0.5283910838912981,0.7269051409168173,0.9246221519635986
Permutation Importance,Passive Aggressive,0.8479456746486624,1.135695633197586,1.0656902144608376,0.8379868709662343
Permutation Importance,Random Forest,0.6450407407407412,1.31477540037037,1.1466365598437762,0.812440172908927
Permutation Importance,Ridge Regression,0.3919086563702803,0.5982786639027028,0.773484753503715,0.9146523104081056
Permutation Importance,SVR,0.5395082925712236,1.363549608143005,1.1677112691684555,0.8054822681795243
Permutation Importance,XGBoost,0.6438417261618155,1.080290300632396,1.0393701461136913,0.8458907415382901
LASSO Coefficients,CatBoost,0.7729507670256882,1.47989047486265,1.2165074906726427,0.7888856138464608
LASSO Coefficients,Decision Tree,0.9403703703703704,4.000685185185184,2.0001712889613192,0.42928060460533946
LASSO Coefficients,ElasticNet,1.213347940346516,2.5339807983550946,1.5918482334554054,0.6385139239312685
LASSO Coefficients,Gradient Boosting,0.84166167677369,2.399104320744809,1.5489042322702875,0.6577547834819659
LASSO Coefficients,Huber,0.49155889211043985,0.5624901836069313,0.7499934557094023,0.9197577308276208
LASSO Coefficients,KNN,0.861185185185185,1.5744663703703703,1.2547774186565401,0.7753938504597908
LASSO Coefficients,Lasso Regression,1.1087600775524893,2.125293047178469,1.457838484599192,0.6968154436610523
LASSO Coefficients,Linear Regression,0.5182168075253928,0.6045223945010492,0.7775103822464683,0.9137616084440293
LASSO Coefficients,M-estimators,0.48218733390936164,0.5630825552805585,0.7503882696848069,0.9196732258021633
LASSO Coefficients,Passive Aggressive,1.0998349049572584,1.7712942959493585,1.3308998068785487,0.7473152815438451
LASSO Coefficients,Random Forest,0.7458185185185199,1.764576784074076,1.3283737365945159,0.7482735709714197
LASSO Coefficients,Ridge Regression,0.5218011839633244,0.6185718918912144,0.7864934150335999,0.9117573715983494
LASSO Coefficients,SVR,0.6667057373345108,1.1189959002504677,1.0578260255119778,0.8403691782585263
LASSO Coefficients,XGBoost,0.7708356638307926,1.6839318686567324,1.2976640045315013,0.7597780046467001
Correlation Coefficient,CatBoost,0.6395217429005507,1.2565694836325103,1.1209681010771495,0.8207435619713898
Correlation Coefficient,Decision Tree,0.7870370370370373,2.2203,1.4900671125825171,0.6832621876154672
Correlation Coefficient,ElasticNet,1.237896014528223,2.5485837375532236,1.5964284317041035,0.636430735616176
