Cire_CD,NDRE_CD
0.365292859,0.151609693
0.37551713,0.156494285
0.457708058,0.184646172
0.349848487,0.147456422
0.523597205,0.202907599
0.436596666,0.17762098
0.491446544,0.195455363
0.578818314,0.222066317
0.67856891,0.250858656
0.720813926,0.263157808
0.809047912,0.287071947
0.809268515,0.286282887
0.83315053,0.290100716
0.583964022,0.223127829
0.444310929,0.180352644
0.698174959,0.255193
0.548239937,0.212474205
0.527381078,0.207182927
0.565597459,0.219352169
0.564555631,0.217688991
0.652553055,0.24432864
0.363247457,0.151416955
0.522727876,0.201065247
0.853523612,0.295149891
0.715041077,0.253991821
0.315200681,0.134875213
0.5484253,0.210451376
0.537178133,0.207997564
0.696231071,0.253730591
0.755999956,0.272613527
0.553241853,0.214200969
0.482147737,0.191774792
0.420173057,0.171910392
0.391250411,0.161982227
0.307679207,0.132377547
0.403120144,0.16591506
0.357022505,0.14963971
0.271482656,0.117604615
0.426395567,0.173215607
0.502741679,0.198931988
0.422723581,0.171779993
0.564242782,0.217188605
0.773713193,0.274699271
0.815874453,0.283266557
0.574137057,0.218447249
0.597453463,0.227725233
0.585265702,0.224389137
0.513848116,0.202729971
0.50298528,0.199627625
0.485183002,0.193876989
0.432835776,0.174999042
0.537078884,0.209359218
0.417884696,0.171225773
0.634316534,0.235508023
0.776512308,0.274569233
0.649047273,0.239643432
0.36526161,0.152034515
0.781188539,0.27469083
0.843717038,0.29100799
0.739628476,0.265886755
0.537888311,0.207310329
0.508850393,0.201142179
0.496755491,0.196788667
0.525888824,0.206980899
0.422035921,0.172270767
0.306031013,0.131356359
0.37349889,0.155874346
0.362018748,0.151188356
0.318729838,0.135020316
0.47879505,0.190073393
0.476220866,0.189926478
0.359496161,0.151221352
0.46974861,0.188613808
0.648822186,0.238869382
0.609051959,0.225298323
0.541707481,0.209233181
0.828202731,0.291415201
0.794861619,0.281276196
0.659889656,0.244791732
0.616779077,0.234135956
0.582215245,0.223717142
0.509552394,0.200069025
0.536682666,0.209170173
0.355633854,0.149233906
0.515605445,0.203412396
0.523174206,0.204399449
0.370558042,0.154038357
0.338088364,0.142168203
0.346648607,0.144710577
0.425112017,0.172195196
0.37523302,0.155849406
0.372254108,0.155758329
0.493074757,0.196834617
0.567975596,0.219416141
0.65144783,0.24469548
0.536080745,0.209100692
0.46940797,0.186829014
0.349038013,0.145915501
0.425288695,0.173517135
0.544567837,0.211042741
0.8691806,0.300908151
0.563134789,0.2148115
0.444540361,0.180688039
0.518077955,0.202376577
0.406783833,0.166771519
0.442788365,0.177490596
0.606910688,0.229534143
0.850694559,0.296861785
0.959779343,0.321150674
0.903987918,0.307856628
0.664812975,0.247086071
0.72395793,0.263742099
0.574830644,0.219404334
0.575167121,0.220535779
0.276902758,0.118576252
