Cire_CD,NDRE_CD,Predicted_Huber,Predicted_M-estimators,Predicted_Linear Regression,Predicted_Ridge Regression,Seed_Method 1,Seed_Method 2,Seed_Method 3,Seed_Method 4
0.633638458,0.237229017,10.62505953,10.67571799,10.6938369,10.65588954,10.65021781,10.65654546,10.64895599,10.64532291
0.578760653,0.219414807,9.740749312,9.788977669,9.818604585,9.788756628,9.767804078,9.773200292,9.7672307,9.760040655
0.329779488,0.138903916,5.744068889,5.781977442,5.864819786,5.867348021,5.779844458,5.781487062,5.781992709,5.75923231
0.432874565,0.175170863,7.543832151,7.592632449,7.662852876,7.610976069,7.577088705,7.584716401,7.574341039,7.56335227
0.448793076,0.181472425,7.856421833,7.908489033,7.97901492,7.908918455,7.889550964,7.89916397,7.885144678,7.877248713
0.378147573,0.15681127,6.632566321,6.677600616,6.757388043,6.721904943,6.667492644,6.673292669,6.666196049,6.650580039
0.26570629,0.113259965,4.472043233,4.496170455,4.576884758,4.656662199,4.508227449,4.501456066,4.517411554,4.481694122
0.307803205,0.129603894,5.282837677,5.31487983,5.395371598,5.431454436,5.318565391,5.316559215,5.323775782,5.295654538
0.373095075,0.154778975,6.531759325,6.57568399,6.655271037,6.626021303,6.566714093,6.5718353,6.565985353,6.549329191
0.517090938,0.202645381,8.90766,8.960498015,9.013496726,8.947279828,8.93805706,8.947320651,8.934077271,8.928795206
0.352059228,0.143629416,5.979142097,6.012374407,6.082491087,6.116809426,6.013213422,6.011443204,6.018306871,5.992435021
0.553983457,0.213310315,9.437334382,9.488844686,9.529895334,9.476577761,9.465967906,9.473875179,9.463211664,9.457938503
0.420806926,0.170148549,7.294739485,7.340509353,7.409710571,7.375076566,7.328001262,7.333753156,7.326826355,7.313047432
0.533086105,0.207444916,9.145990081,9.198649195,9.247031928,9.183950056,9.175687997,9.18462914,9.172012766,9.167053727
0.505235965,0.196836209,8.619676476,8.667560069,8.716745328,8.679716315,8.649752423,8.655849504,8.648443701,8.638829913
0.32753327,0.138366387,5.717347648,5.755589613,5.839518622,5.839696918,5.753272262,5.755166531,5.75520219,5.732644434
0.436756106,0.174415938,7.506755788,7.551176355,7.614109621,7.589854837,7.539127246,7.543773753,7.538922796,7.524524015
0.472416,0.185293328,8.046855437,8.091277504,8.144489187,8.124743767,8.077734265,8.081929911,8.077980827,8.064624264
0.299014332,0.124170813,5.013646093,5.039470832,5.113516889,5.186999722,5.048715957,5.042658911,5.057355477,5.023975988
0.440423557,0.175726201,7.571774494,7.616627972,7.679176874,7.652705156,7.604063841,7.608953687,7.603659344,7.589715885
0.423331525,0.17151841,7.362631488,7.409756324,7.480196141,7.437488704,7.396011126,7.402638111,7.394096624,7.381481422
